feature,target,regime,horizon,n,auc_oriented
rv_slope_96b,range_breached,LOW_VOL_RANGE,4H,1016,0.6799812030075187
rv_slope_96b,range_breached,LOW_VOL_RANGE,8H,1016,0.7598684210526316
rv_slope_96b,range_breached,NORMAL_RANGE,12H,2314,0.7226141257008256
rv_slope_96b,range_breached,NORMAL_RANGE,1H,2314,0.6160221822541967
rv_slope_96b,range_breached,NORMAL_RANGE,24H,2314,0.815114338633071
rv_slope_96b,range_breached,NORMAL_RANGE,2H,2314,0.7491238664457622
rv_slope_96b,range_breached,NORMAL_RANGE,4H,2303,0.7382177358080972
rv_slope_96b,range_breached,NORMAL_RANGE,8H,2303,0.7376276048257825
rv_slope_96b,range_breached,TREND_DOWN,12H,190,0.7455440900562852
rv_slope_96b,range_breached,TREND_DOWN,1H,190,0.7776266575994559
rv_slope_96b,range_breached,TREND_DOWN,24H,190,0.8586847389558233
rv_slope_96b,range_breached,TREND_DOWN,2H,190,0.8013538141109087
rv_slope_96b,range_breached,TREND_DOWN,4H,189,0.8065843621399177
rv_slope_96b,range_breached,TREND_DOWN,8H,189,0.8138888888888889
rv_slope_96b,range_breached,TREND_UP,12H,179,0.7740229885057471
rv_slope_96b,range_breached,TREND_UP,1H,179,0.6131549609810479
rv_slope_96b,range_breached,TREND_UP,24H,179,0.728003784295175
rv_slope_96b,range_breached,TREND_UP,2H,179,0.6551075268817204
rv_slope_96b,range_breached,TREND_UP,4H,179,0.6262068965517241
rv_slope_96b,range_breached,TREND_UP,8H,179,0.7682748538011696
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,12H,324,0.792234685073339
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,1H,324,0.8437389770723104
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,24H,324,0.8382608695652174
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,2H,324,0.7417755745831456
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,4H,319,0.8737942122186495
rv_slope_96b,range_breached,VOLATILITY_EXPANSION,8H,319,0.8040141676505312
rv_slope_96b,path_inside_70,HIGH_VOL,12H,163,0.7337837837837838
rv_slope_96b,path_inside_70,HIGH_VOL,1H,163,0.7430379746835443
rv_slope_96b,path_inside_70,HIGH_VOL,24H,163,0.8953846153846153
rv_slope_96b,path_inside_70,HIGH_VOL,2H,163,0.6571125265392781
rv_slope_96b,path_inside_70,HIGH_VOL,4H,163,0.6529304029304029
rv_slope_96b,path_inside_70,HIGH_VOL,8H,163,0.679020979020979
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,12H,1024,0.8116394148020654
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,1H,1024,0.6422410252197486
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,24H,1024,0.6852941176470588
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,2H,1024,0.6222728295096717
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,4H,1016,0.6799812030075187
rv_slope_96b,path_inside_70,LOW_VOL_RANGE,8H,1016,0.7598684210526315
rv_slope_96b,path_inside_70,NORMAL_RANGE,12H,2314,0.7226141257008256
rv_slope_96b,path_inside_70,NORMAL_RANGE,1H,2314,0.6160221822541967
rv_slope_96b,path_inside_70,NORMAL_RANGE,24H,2314,0.8151143386330711
rv_slope_96b,path_inside_70,NORMAL_RANGE,2H,2314,0.7491238664457623
rv_slope_96b,path_inside_70,NORMAL_RANGE,4H,2303,0.7382177358080972
rv_slope_96b,path_inside_70,NORMAL_RANGE,8H,2303,0.7376276048257825
rv_slope_96b,path_inside_70,TREND_DOWN,12H,190,0.7455440900562852
rv_slope_96b,path_inside_70,TREND_DOWN,1H,190,0.7776266575994559
rv_slope_96b,path_inside_70,TREND_DOWN,24H,190,0.8586847389558233
rv_slope_96b,path_inside_70,TREND_DOWN,2H,190,0.8013538141109087
rv_slope_96b,path_inside_70,TREND_DOWN,4H,189,0.8065843621399177
rv_slope_96b,path_inside_70,TREND_DOWN,8H,189,0.8138888888888889
rv_slope_96b,path_inside_70,TREND_UP,12H,179,0.7740229885057471
rv_slope_96b,path_inside_70,TREND_UP,1H,179,0.6131549609810479
rv_slope_96b,path_inside_70,TREND_UP,24H,179,0.728003784295175
rv_slope_96b,path_inside_70,TREND_UP,2H,179,0.6551075268817205
rv_slope_96b,path_inside_70,TREND_UP,4H,179,0.6262068965517241
rv_slope_96b,path_inside_70,TREND_UP,8H,179,0.7682748538011696
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,12H,324,0.792234685073339
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,1H,324,0.8437389770723104
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,24H,324,0.8382608695652174
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,2H,324,0.7417755745831456
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,4H,319,0.8737942122186495
rv_slope_96b,path_inside_70,VOLATILITY_EXPANSION,8H,319,0.8040141676505312
