target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
upper_breach_only,12H,test,0.2896,842,263,0.31235154394299286,0.21530568969121142,0.0,0.6222087270865556,0.556722288986518,0.2838312370227972,0.022751543942992836,,
upper_breach_only,24H,validation,0.29159935379644586,794,255,0.3211586901763224,0.21888954026777005,0.0,0.629815238806895,0.4709374658954491,0.31039953647325996,0.02955933637987651,,
upper_breach_only,24H,test,0.29159935379644586,842,240,0.2850356294536817,0.20383340187287297,0.0,0.5977513613111144,0.5429194352159469,0.27107413593334256,0.006563724342764199,,
lower_breach_only,1H,validation,0.3215701823949247,840,284,0.3380952380952381,0.2240599255384609,0.0,0.6403843883667254,0.4972071638463877,0.3405590280733593,0.016525055700313374,,
lower_breach_only,1H,test,0.3215701823949247,842,255,0.3028503562945368,0.21148244987603773,0.0,0.6140717854391782,0.49565420716838693,0.3230647442919047,0.018719826100387915,,
lower_breach_only,2H,validation,0.3400793650793651,838,277,0.3305489260143198,0.22137716279387212,0.0,0.6347699916285985,0.46955861438766516,0.3495479754521052,0.009530439065045304,,
lower_breach_only,2H,test,0.3400793650793651,842,252,0.2992874109263658,0.21137844011097887,0.0,0.6140454652911366,0.49558783965563624,0.32065603783543556,0.040791954152999355,,
lower_breach_only,4H,validation,0.34896661367249604,834,276,0.33093525179856115,0.22174224092661285,0.0,0.6355605034489232,0.4983767077034959,0.3500214211532306,0.018031361873934837,,
lower_breach_only,4H,test,0.34896661367249604,842,247,0.29334916864608074,0.21038873409200032,0.0,0.6121223981604529,0.45863300785901406,0.3408084703901407,0.055617445026415135,,
lower_breach_only,8H,validation,0.32575757575757575,826,266,0.3220338983050847,0.21834193242128527,0.0,0.628424685510722,0.451765574650913,0.4238779239622356,0.00372367745249097,,
lower_breach_only,8H,test,0.32575757575757575,842,225,0.2672209026128266,0.19924043392246804,0.0,0.5885517252517131,0.424332793084819,0.35660767188761555,0.058536673144749085,,
lower_breach_only,12H,validation,0.312,818,231,0.2823960880195599,0.20352492909535452,0.0,0.5972812151057763,0.44073983937697736,0.40745576422620455,0.029603911980440045,,
lower_breach_only,12H,test,0.312,842,205,0.24346793349168647,0.18888794299287412,0.0,0.5664973891193298,0.48488723819734275,0.2610246507954385,0.06853206650831348,,
